Wardname	Children	Greaterthan65	nonwhite	NotBorninUK	NotEnglishspeaking
Hackney - Queensbridge	17.542062911485	8.2	44.7	38.3	11.8
Hammersmith & Fulham - S&s End	17.9153605015674	8.4	30.6	39	11.8
Barking & Dagenham - River	26.8515975464616	10.1	38.4	30.9	9.6
Tower Hamlets - Bethnal Green North	18.5558722502375	7	49.4	38.7	15
Merton - Abbey	15.7318608931512	8.5	26.6	38.3	12.5
Richmond upon Thames - South Richmond	16.5526802218115	14	13.1	33	8.5
Lambeth - Larkhall	16.6560343327727	6.2	43.3	42.2	13
Greenwich - Plumstead	23.3568355640535	8.6	55.4	41.7	14.6
Hillingdon - Heathrow Villages	20.8213788015411	9.4	50	43.2	17.1
Lambeth - Streatham Hill	18.3201290051181	8.4	37.9	37.8	12.4
Havering - Gooshays	23.2371358562483	12.9	12.8	10.7	2.6
Croydon - Broad Green	25.7613124597898	7.1	68.6	46.2	16.9
Hillingdon - West Ruislip	17.8588257468665	16.8	18	18.4	3.9
Ealing - North Greenford	20.288180520628	11.4	56.4	51.4	22.1
Lewisham - Lewisham Central	18.3308494783905	8.4	51.6	41.2	12.4
Hillingdon - Hillingdon East	23.1132806446614	11.9	34.4	23.3	6.4
Wandsworth - Southfields	18.503937007874	7.7	24.4	34.8	9
Hounslow - Heston West	22.969930857051	10.3	76.2	51.1	23.9
Sutton - Sutton West	18.0713743356112	13.9	23	25.1	7.8
Merton - Dundonald	16.4851752021563	9.8	18.1	35.6	7.3
Haringey - West Green	19.7427460364942	9.5	47.8	54.6	25.9
Hounslow - Heston Central	20.8414713541667	10.9	76.6	54.7	23.9
Barnet - Underhill	20.5717876217405	16.2	27.3	25.4	6.9
Sutton - Sutton Central	18.7573910670427	11.5	24.1	26.9	99.7
Bexley - Lesnes Abbey	20.9236735413362	15.6	31	23.3	5
Hammersmith & Fulham - Hammersmith Broadway	15.9607481338589	10.1	33.9	40.5	13.4
Southwark - Brunswick Park	19.6599362380446	7.1	53.3	40.6	10.7
Redbridge - Clementswood	26.6398472657848	7.4	84.2	55.6	25.1
Islington - Barnsbury	14.8840258995164	9.4	28.9	35.5	10.9
Croydon - Shirley	20.6281477336318	16.7	30.9	19.7	3.9
Wandsworth - Northcote	19.0361445783133	6	14.9	28.9	5.7
Greenwich - Woolwich Common	26.9101091490942	5.9	57.6	41.8	13.6
Croydon - Sanderstead	19.5585818267199	18.5	19.5	13.7	1.7
Croydon - West Thornton	25.050031448339	9.5	76.5	46.5	15.1
Barking & Dagenham - Valence	25.6916996047431	12.1	31.5	23.3	7.1
Harrow - Harrow Weald	19.7433192686357	17.1	48.3	36.7	10.5
Lewisham - Lee Green	19.3096822891649	10.9	33.7	28.9	8.1
Kensington & Chelsea - Royal Hospital	12.8516271373414	20.1	15.4	44.8	16.7
Lambeth - Thornton	20.6610250678589	7.9	40.5	37	10.1
Harrow - Greenhill	16.8276972624799	10.4	58.5	52.7	20.7
Bexley - Sidcup	15.8151973441534	20	10.1	10.6	2.2
Lambeth - Herne Hill	18.3689680280665	7.2	39.6	35.3	10.8
Kensington & Chelsea - Brompton	14.0513632763887	13	24.4	61.7	26.8
Merton - Figge's Marsh	23.1138790035587	9.3	57.4	44.9	16.3
Redbridge - Fairlop	20.8471892319873	13.1	34.9	25.1	8.2
Greenwich - Middle Park & Sutcliffe	21.9326175490559	14.2	24	22.3	5.6
Richmond upon Thames - East Sheen	22.9029764205644	13.9	9.3	23.6	5.5
Merton - Wimbledon Park	21.2021077074216	8.2	20.4	32.9	8.4
Barking & Dagenham - Parsloes	26.2221770505133	11.2	30.9	23.3	6.6
Kensington & Chelsea - Campden	15.5906089508437	12.5	21.4	52.8	18.3
Islington - Tollington	17.7221846593043	8	35.8	34.5	12.6
Richmond upon Thames - Hampton	19.3390085127692	15.8	11.3	16.7	4
Greenwich - Thamesmead Moorings	28.6467308667005	4.7	57.6	41.8	12.1
Enfield - Lower Edmonton	27.4514548424173	9.2	58.9	46.1	19.5
Brent - Preston	20.4278143983456	12.4	70	57.3	22.8
Wandsworth - Roehampton	18.4540044631788	10.5	34.5	38.6	15.5
Harrow - Edgware	20.2866214708659	11.4	65.3	56.5	24.8
Havering - Harold Wood	17.4466403162055	17.4	10.1	9.4	2.5
Hillingdon - Townfield	23.1958032043102	9.8	62.9	44.7	18.1
Hillingdon - Northwood	15.8276817270035	20.9	34.8	31.8	7
Kingston upon Thames - Alexandra	20.8630759247242	14.8	29.8	27.2	8.2
Bexley - Crayford	21.6907179761268	14.6	11.7	10	1.9
Sutton - Wandle Valley	24.067067927773	9	24.8	19.8	5.7
Ealing - Dormers Wells	22.3939611790079	11.6	82.1	56	29.1
Newham - Canning Town South	21.0865216304076	7.1	54.5	47.5	19.9
Hackney - Dalston	16.4595640660012	6.2	44.5	40.8	14
Haringey - Seven Sisters	27.0415831663327	7.3	41.2	49.1	22.5
Newham - Green Street West	21.0150201813009	7.4	89.3	61.1	32.7
Bromley - Cray Valley West	23.6269306458346	14.9	13.9	10.9	2.5
Islington - Bunhill	13.4503722931894	7.9	34.5	41.9	16.6
Lambeth - Bishop's	11.4521963824289	8.7	42	43	13.7
Hillingdon - Brunel	15.5263348023987	11.1	38.2	29.3	9.8
Bexley - Longlands	16.2995594713656	21.7	9.4	9.9	2.1
Croydon - Upper Norwood	20.9924138788708	11	51.3	33.9	9
Camden - Regent's Park	15.9151389710231	9.6	44.3	45.2	15.6
Hillingdon - Uxbridge North	17.886786188579	15.9	30.2	23.4	5.9
Barnet - Finchley Church End	18.7527839643653	16.5	33.1	40.9	14.5
Lambeth - Knight's Hill	23.2473074578338	9	47.7	35.3	11.6
Lambeth - Gipsy Hill	22.4912485414236	8.1	44.9	30.6	7.7
Harrow - Canons	18.3626012348649	19.6	48.4	40.1	12.5
Redbridge - Roding	22.7499169711059	10.3	37.2	28.2	8.7
Islington - Saint George's	16.2258064516129	9.1	28.1	32.8	10.6
Barking & Dagenham - Chadwell Heath	24.5085320826265	15.6	37.9	24.8	6.5
Redbridge - Barkingside	20.2791656753113	14.8	64.2	40.5	12.8
Hackney - Stoke Newington Central	15.9582161510647	7	39.9	36.6	13
Kingston upon Thames - Coombe Hill	18.8181905957324	14.4	35.5	40.6	13.9
Sutton - Beddington South	22.0399362519921	13.9	28.8	20.1	4.2
Harrow - Harrow on the Hill	20.8149959250204	11.7	52.6	44.2	15.1
Ealing - Norwood Green	20.6242873432155	10.7	78	50.7	25.6
Richmond upon Thames - North Richmond	18.6590290168091	13.1	15.7	28.3	6.8
Enfield - Upper Edmonton	25.8432139979279	9.2	58	48.4	22.7
Lewisham - Rushey Green	22.0367390721373	9	59.1	38	10.2
Kingston upon Thames - Chessington North & Hook	20.6154902185105	14.5	15	17.2	5
Havering - Hylands	17.6343421865349	16.2	9.7	7.9	1.7
Westminster - Queen's Park	21.7702777998886	9.5	52.6	43.3	15.2
Kingston upon Thames - Chessington South	20.6802189210321	13.5	13	14.3	3.9
Wandsworth - Shaftesbury	12.7189265536723	7.7	18.8	29	5.7
Hillingdon - Eastcote & East Ruislip	17.7812551474222	20	20.2	17.5	3.7
Hammersmith & Fulham - Palace Riverside	18.3348924228251	14.7	15	34.1	8.2
Redbridge - Fullwell	21.5491866769946	15.6	48.5	29.6	8
Westminster - Churchill	20.1289249324184	12.8	39.4	44.4	17.4
Westminster - Warwick	10.7161916960188	11.3	24	43.9	15.9
Merton - Raynes Park	19.172314643664	13.7	19.8	33.4	8.7
Kensington & Chelsea - Redcliffe	15.110870740941	10.2	18.8	53.4	21.6
Lambeth - Ferndale	12.5598722724854	6.2	40.4	41.7	11.8
Croydon - Ashburton	21.7784117926771	13.2	36.7	22.3	4.8
Tower Hamlets - Limehouse	22.2757412736144	6.2	56.8	43.8	19.7
Camden - Cantelowes	16.1844863731656	9.1	31.9	35.9	12.6
Ealing - Lady Margaret	20.1986040152551	11	83.5	55.9	25.2
Hackney - Hoxton	15.8626598128377	6.2	46.5	44.8	16.6
Hackney - Victoria	20.6409190537374	7.4	44.2	34	10.4
Hillingdon - Ickenham	18.638682969096	19.9	21.8	15.9	2.8
Waltham Forest - Hatch Lane	20.2930005425936	16.1	22.2	16.5	4.4
Newham - Plaistow South	25.1097293343087	6.6	67.3	51.7	21.9
Westminster - West End	7.91489361702128	10.9	32.4	56.8	24.2
Sutton - Wallington South	18.2058823529412	17.3	21.3	18.5	4.3
Merton - Village	19.1025792015075	19.3	17.1	34	8.3
Hounslow - Feltham West	24.9919567595393	6.3	35.5	32.3	14.2
Kensington & Chelsea - Golborne	18.6639812017456	10.2	52.1	46.1	16.9
Hackney - King's Park	25.5541539016039	9.2	62	43.3	13.4
Harrow - Queensbury	21.1949265687583	11.6	75	57.5	26.2
Islington - Finsbury Park	18.4148210057111	8.5	42.9	41.6	17.5
Barking & Dagenham - Alibon	26.4034665382764	10.4	29.9	24.7	7.9
